LINE_RATE,N,D,S,X,U,W,OUTPUT_QUEUE_DEPTH,MULTICAST_SUPPORT,clk,part_number,Slices/CLBs,Slices/CLBs %,Slice/CLB LUTs,Slice/CLB LUTs %,LUT as Memory,LUT as Memory %,Slice/CLB Regs,Slice/CLB Regs %,BRAMs,BRAMs%,URAMs,URAMs%,DSPs,DSPs %,WNS(ns),TNS(ns),NNS,WHS(ns),THS(ns),NHS,Timing Status
25,64,1024,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,22137,22.47,79041,13.16,31240,7.92,176859,14.72,152,14.84,0,0.00,0,0.00,0.132,0.000,0,0.002,0.000,0,Met
25,72,1024,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,28744,29.18,103994,17.32,41142,10.43,234415,19.52,189,18.46,0,0.00,0,0.00,0.096,0.000,0,0.002,0.000,0,Met
25,80,1024,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,34593,35.11,119166,19.84,45700,11.58,274213,22.83,210,20.51,0,0.00,0,0.00,0.263,0.000,0,0.002,0.000,0,Met
25,88,1024,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,40630,27.49,140686,11.90,58202,9.83,325081,13.75,231,10.69,0,0.00,0,0.00,0.111,0.000,0,0.002,0.000,0,Met
25,96,1024,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,46772,31.65,157951,13.36,63480,10.73,371194,15.70,252,11.67,0,0.00,0,0.00,0.075,0.000,0,0.003,0.000,0,Met
25,104,1024,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,56718,38.38,185475,15.69,78142,13.20,437603,18.51,273,12.64,0,0.00,0,0.00,0.007,0.000,0,0.002,0.000,0,Met
25,112,1024,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,62141,28.77,204896,11.86,84140,10.64,490453,14.19,294,10.94,0,0.00,0,0.00,0.091,0.000,0,0.003,0.000,0,Met
25,120,1024,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,69523,32.19,233362,13.50,100962,12.76,557505,16.13,315,11.72,0,0.00,0,0.00,0.054,0.000,0,0.003,0.000,0,Met
25,128,1024,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,76926,35.61,255029,14.76,107680,13.61,616669,17.84,336,12.50,0,0.00,0,0.00,0.003,0.000,0,0.002,0.000,0,Met

25,112,1024,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,60771,41.12,204934,17.33,84140,14.22,490478,20.74,294,13.61,0,0.00,0,0.00,-0.018,-0.051,6,0.010,0.000,0,Not Met
25,120,1024,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,72856,49.30,233449,19.75,100962,17.06,557582,23.58,315,14.58,0,0.00,0,0.00,-0.172,-19.338,450,0.005,0.000,0,Not Met

25,8,4096,8,64,1,72,32,0,2.88,xcku3p-ffvb676-3-e,1174,4.33,4391,2.70,994,1.00,7035,2.16,10,2.78,8,16.67,0,0.00,0.517,0.000,0,0.032,0.000,0,Met
25,16,4096,8,64,1,72,32,0,2.88,xcku3p-ffvb676-3-e,3116,11.49,10650,6.54,3450,3.46,20875,6.41,20,5.56,16,33.33,0,0.00,0.327,0.000,0,0.024,0.000,0,Met
25,24,4096,8,64,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,5484,11.13,19389,4.92,7343,3.72,37778,4.79,30,4.17,24,7.50,0,0.00,0.291,0.000,0,0.004,0.000,0,Met
25,32,4096,8,64,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,7957,16.15,27336,6.94,9780,4.96,55886,7.09,40,5.56,32,10.00,0,0.00,0.307,0.000,0,0.003,0.000,0,Met
25,40,4096,8,64,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,12161,24.69,42847,10.87,15993,8.11,86662,11.00,50,6.94,40,12.50,0,0.00,0.232,0.000,0,0.004,0.000,0,Met
25,48,4096,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,16130,16.37,53751,8.95,19182,4.86,112249,9.35,60,5.86,48,10.21,0,0.00,0.257,0.000,0,0.003,0.000,0,Met
25,56,4096,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,18445,18.72,66591,11.09,27427,6.95,145856,12.14,70,6.84,56,11.91,0,0.00,0.222,0.000,0,0.003,0.000,0,Met
25,64,4096,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,22257,22.59,79207,13.19,31336,7.94,177747,14.80,80,7.81,64,13.62,0,0.00,0.052,0.000,0,0.003,0.000,0,Met
25,72,4096,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,29146,29.58,103847,17.29,41142,10.43,235263,19.59,108,10.55,72,15.32,0,0.00,0.226,0.000,0,0.003,0.000,0,Met
25,80,4096,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,33709,34.22,119249,19.86,45700,11.58,275155,22.91,120,11.72,80,17.02,0,0.00,0.152,0.000,0,0.003,0.000,0,Met
25,88,4096,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,41620,28.16,140499,11.88,58202,9.83,326116,13.79,132,6.11,88,9.17,0,0.00,0.017,0.000,0,0.003,0.000,0,Met
25,96,4096,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,47443,32.10,157629,13.33,63480,10.73,372282,15.74,144,6.67,96,10.00,0,0.00,0.000,0.000,0,0.003,0.000,0,Met
25,104,4096,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,56140,37.99,185618,15.70,78142,13.20,438821,18.56,156,7.22,104,10.83,0,0.00,0.026,0.000,0,0.002,0.000,0,Met
25,112,4096,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,62098,28.75,205013,11.86,84140,10.64,491755,14.23,168,6.25,112,8.75,0,0.00,0.019,0.000,0,0.003,0.000,0,Met
25,120,4096,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,69788,32.31,232658,13.46,100962,12.76,558943,16.17,180,6.70,120,9.38,0,0.00,0.047,0.000,0,0.003,0.000,0,Met

25,128,4096,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,77813,36.02,254364,14.72,107680,13.61,618159,17.89,192,7.14,128,10.00,0,0.00,-0.041,-0.867,49,0.003,0.000,0,Not Met

